"pk_species";"ssi";"sti";"thermal_niche_mean";"thermal_niche_range";"thermal_niche_max";"thermal_niche_min";"stri";"exp_stri";"trophic_vegetation";"trophic_invertebrate";"trophic_vertebrate"
"ACCNIS";0.620015;20.0974;12.3454;15.773;20.0974;4.3244;3;20.09;0;0;100
"AEGCAU";0.438564;19.328;12.9783;13.3142;19.328;6.01376;1.95;7.03;5;95;0
"ALAARV";0.921955;19.7438;12.508;15.4477;19.7438;4.29613;1.25;3.49;75;25;0
"ALERUF";0.92039;20.5323;15.2367;11.2723;20.5323;9.26;1.1;3;90;10;0
"ANTCAM";1.50106;21.4068;15.7224;11.5149;21.4068;9.89193;1.95;7.03;5;95;0
"ANTPRA";1.26191;15.2037;9.85028;13.4452;15.2037;1.75849;1.75;5.75;25;75;0
"ANTTRI";0.705309;17.9549;11.6459;13.9098;17.9549;4.04508;1.95;7.03;5;95;0
"APUAPU";1.24046;21.2854;13.2293;16.075;21.2854;5.21042;2;7.39;0;100;0
"BUROED";1.52193;29.1006;18.5569;17.9197;29.1006;11.1809;1.95;7.03;5;95;0
"BUTBUT";0.585595;19.4801;13.0152;13.1745;19.4801;6.30557;2.9;18.17;0;10;90
"CARCAN";0.597376;21.4034;14.2114;13.2644;21.4034;8.13908;1.05;2.86;95;5;0
"CARCAR";0.650258;22.9379;14.6936;14.3588;22.9379;8.5791;1.05;2.86;95;5;0
"CARCHL";0.570617;21.5397;13.8886;15.2923;21.5397;6.24732;1.05;2.86;95;5;0
"CERBRA";0.544511;21.2164;15.3616;12.1146;21.2164;9.10174;2;7.39;0;100;0
"CERFAM";1.42419;17.7345;11.7709;12.6035;17.7345;5.13102;1.95;7.03;5;95;0
"CETCET";1.14564;23.3435;16.9112;14.7673;23.3435;8.57622;2;7.39;0;100;0
"CIRAER";2.38313;22.6326;13.6722;15.1964;22.6326;7.43621;3;20.09;0;0;100
"CIRCYA";1.48217;16.833;11.063;13.2879;16.833;3.54511;3;20.09;0;0;100
"CIRPYG";1.5083;19.6703;14.3518;9.32976;19.6703;10.3405;2.6;13.46;0;40;60
"CISJUN";1.64227;27.854;19.0736;15.5653;27.854;12.2886;2;7.39;0;100;0
"COCCOC";0.857174;19.8149;14.0176;10.9858;19.8149;8.8291;1.05;2.86;95;5;0
"COLLIV";2.15525;30.228;15.5755;23.37;30.228;6.858;1.01;2.75;99;1;0
"COLOEN";0.951158;19.2938;13.4029;11.2216;19.2938;8.07224;1.01;2.75;99;1;0
"COLPAL";0.210529;21.5235;12.989;16.3147;21.5235;5.20879;1.01;2.75;99;1;0
"CORFRU";0.879635;18.7374;13.4259;11.0666;18.7374;7.67086;1.63;5.1;46;42;11
"CORMON";0.834487;20.2449;13.4372;13.6661;20.2449;6.57877;1.11;3.03;90;9;1
"CORRAX";1.03099;22.6104;12.3658;20.2476;22.6104;2.36277;1.75;5.75;50;25;25
"COTCOT";1.35456;22.1066;14.693;13.7205;22.1066;8.3861;1.22;3.39;78;22;0
"CUCCAN";0.436097;20.46;12.714;16.1486;20.46;4.31148;2;7.39;0;100;0
"DELURB";1.55545;21.4263;13.0523;17.0008;21.4263;4.42548;2;7.39;0;100;0
"DENMAJ";0.579273;19.3768;12.1895;15.2036;19.3768;4.17318;1.7;5.47;30;70;0
